                  QSO_name     ion       Glon       Glat      v_LSR     logN   hvcflag_1   hvcflag_2   hvcflag_3   hvcflag_4  
                ESO-141-55    SiIV   338.1834   -26.7112   -101.976   12.055           1           0           0           0  
                ESO-141-55    SiIV   338.1834   -26.7112       77.9   12.758           1           0           0           0  
                ESO-141-55    SiIV   338.1834   -26.7112     47.921   12.956           0           0           0           0  
                ESO-141-55    SiIV   338.1834   -26.7112    -60.005   13.044           0           0           0           0  
                ESO-141-55    SiIV   338.1834   -26.7112     -0.046   13.646           0           0           0           0  
                  FAIRALL9    CII*   295.0729   -57.8266     27.352   13.095           0           0           0           0  
                  FAIRALL9    CII*   295.0729   -57.8266    135.278   13.325           1           1           1           1  
                  FAIRALL9    CII*   295.0729   -57.8266    -11.621   13.918           0           0           0           0  
                  FAIRALL9     CIV   295.0729   -57.8266    -32.606   13.148           0           0           0           0  
                  FAIRALL9     CIV   295.0729   -57.8266    129.282   13.656           1           1           1           1  
                  FAIRALL9     CIV   295.0729   -57.8266     60.329    13.72           1           0           0           0  
                  FAIRALL9     CIV   295.0729   -57.8266      6.367   13.944           0           0           0           0  
                  FAIRALL9    NiII   295.0729   -57.8266      3.369   13.673           0           0           0           0  
                  FAIRALL9     SII   295.0729   -57.8266     72.321   13.706           1           0           0           0  
                  FAIRALL9     SII   295.0729   -57.8266    144.271   14.129           1           1           1           1  
                  FAIRALL9     SII   295.0729   -57.8266     -2.627   15.282           0           0           0           0  
                  FAIRALL9    SIII   295.0729   -57.8266    -17.617   14.489           0           0           0           0  
                  FAIRALL9    SiII   295.0729   -57.8266     93.307   12.946           1           1           1           1  
                  FAIRALL9    SiII   295.0729   -57.8266     60.329   13.164           1           0           0           0  
                  FAIRALL9    SiII   295.0729   -57.8266    141.273   14.102           1           1           1           1  
                  FAIRALL9    SiII   295.0729   -57.8266     -2.627   15.499           0           0           0           0  
                  FAIRALL9    SiIV   295.0729   -57.8266     54.334   12.933           0           0           0           0  
                  FAIRALL9    SiIV   295.0729   -57.8266    114.292   13.002           1           1           1           1  
                  FAIRALL9    SiIV   295.0729   -57.8266     -5.625    13.45           0           0           0           0  
            FBQSJ1010+3003    CII*   198.4271    54.6252    -35.111   14.115           1           0           0           1  
            FBQSJ1010+3003    CII*   198.4271    54.6252     12.856   14.659           0           0           0           0  
            FBQSJ1010+3003     CIV   198.4271    54.6252   -128.047   12.855           1           0           0           1  
            FBQSJ1010+3003     CIV   198.4271    54.6252    -38.109    13.29           1           0           0           1  
            FBQSJ1010+3003     CIV   198.4271    54.6252    -77.082   13.405           1           0           0           1  
            FBQSJ1010+3003     CIV   198.4271    54.6252     36.839   14.061           0           0           0           0  
            FBQSJ1010+3003      NV   198.4271    54.6252    -23.119   13.333           0           0           0           0  
            FBQSJ1010+3003      NV   198.4271    54.6252     30.843   13.389           0           0           0           0  
            FBQSJ1010+3003    NiII   198.4271    54.6252    -47.103   13.179           1           0           0           1  
            FBQSJ1010+3003    NiII   198.4271    54.6252      9.858   13.321           0           0           0           0  
            FBQSJ1010+3003    NiII   198.4271    54.6252    -71.086    15.52           1           0           0           1  
            FBQSJ1010+3003    NiII   198.4271    54.6252    -59.094   15.678           1           0           0           1  
            FBQSJ1010+3003    NiII   198.4271    54.6252    -17.123   15.748           0           0           0           0  
            FBQSJ1010+3003    NiII   198.4271    54.6252    -35.111   16.009           1           0           0           1  
            FBQSJ1010+3003    SiIV   198.4271    54.6252    -47.103   13.216           1           0           0           1  
            FBQSJ1010+3003    SiIV   198.4271    54.6252    -32.113   13.523           0           0           0           0  
                 H1821+643     CIV    94.0025     27.417     55.464   13.105           0           0           0           0  
                 H1821+643     CIV    94.0025     27.417    -67.451   13.914           0           0           0           0  
                 H1821+643     CIV    94.0025     27.417   -127.409    13.92           1           0           0           1  
                 H1821+643     CIV    94.0025     27.417     -4.495   14.021           0           0           0           0  
                 H1821+643     CIV    94.0025     27.417     25.485   14.355           0           0           0           0  
                 H1821+643    NiII    94.0025     27.417    -79.443   13.776           1           0           0           1  
                 H1821+643    SiII    94.0025     27.417    -91.434   13.832           1           0           0           1  
                 H1821+643    SiII    94.0025     27.417   -139.401   14.291           1           0           0           1  
                 H1821+643    SiII    94.0025     27.417    -19.484   15.058           0           0           0           0  
       HB89-0107-025-NED05    CII*   134.0292   -64.7794      6.641    14.15           0           0           0           0  
       HB89-0107-025-NED05     CIV   134.0292   -64.7794     39.619   13.346           0           0           0           0  
